,R²,RMSE
Random Forest,0.9073443317386267,5.257517665952435
Decision Tree,0.8825638983460002,5.918962076637814
Neural Network,0.8152406316886065,7.424171210301655
Linear Regression (PCA),0.13494927398306067,15.742299141585754
